gene_id	gene_name	gene_type
ENSG00000262686.1	201	lincRNA
ENSG00000262772.1	400	lincRNA
ENSG00000262837.1	202	lincRNA
ENSG00000262873.1	331	lincRNA
ENSG00000262877.4	546	lincRNA
ENSG00000263004.1	1234	lincRNA
ENSG00000263050.1	1250	lincRNA
ENSG00000263105.1	193	lincRNA
ENSG00000263126.1	450	lincRNA
ENSG00000263164.1	258	lincRNA
ENSG00000263321.1	251	lincRNA
ENSG00000263470.1	951	lincRNA
ENSG00000263494.1	245	lincRNA
ENSG00000263603.1	293	lincRNA
ENSG00000263655.1	297	lincRNA
ENSG00000263667.1	222	lincRNA
ENSG00000263731.1	990	lincRNA
ENSG00000263753.5	1427	lincRNA
ENSG00000263874.1	395	lincRNA
ENSG00000263990.1	750	lincRNA
ENSG00000264016.2	185	lincRNA
ENSG00000264112.1	1101	lincRNA
ENSG00000264222.1	158	lincRNA
ENSG00000264247.1	1399	lincRNA
ENSG00000264278.1	1020	lincRNA
ENSG00000264520.1	301	lincRNA
ENSG00000264575.1	673	lincRNA
ENSG00000265369.3	410	lincRNA
