gene_id	score	gene_type
ENSG00000168795.4	2.923683139	protein_coding
ENSG00000106624.7	2.922234267	protein_coding
ENSG00000163527.8	2.921937555	protein_coding
ENSG00000158711.12	2.920975881	protein_coding
ENSG00000085552.15	2.920817312	protein_coding
ENSG00000255432.1	2.920738783	protein_coding
ENSG00000112530.10	2.920733071	protein_coding
ENSG00000143603.17	2.920559075	protein_coding
ENSG00000104415.12	2.920543825	protein_coding
ENSG00000120903.9	2.920018375	protein_coding
ENSG00000107614.20	2.919597828	protein_coding
ENSG00000146070.15	2.91845468	protein_coding
ENSG00000276966.1	2.918234341	protein_coding
ENSG00000008516.15	2.918053856	protein_coding
ENSG00000197608.10	2.917590258	protein_coding
ENSG00000095637.19	2.916979408	protein_coding
ENSG00000087266.14	2.916936359	protein_coding
ENSG00000279317.1	2.916821423	protein_coding
ENSG00000148331.10	2.916197602	protein_coding
ENSG00000172794.18	2.915776006	protein_coding
ENSG00000159788.17	2.915201795	protein_coding
ENSG00000127533.3	2.914915952	protein_coding
ENSG00000222047.7	2.914790528	protein_coding
ENSG00000140323.5	2.914078433	protein_coding
ENSG00000169509.5	2.913324909	protein_coding
ENSG00000176909.10	2.913242814	protein_coding
ENSG00000175826.10	2.913242657	protein_coding
ENSG00000005059.14	2.913175807	protein_coding
ENSG00000213714.1	2.912845757	protein_coding
ENSG00000166321.12	2.912267098	protein_coding
ENSG00000198520.9	2.911489338	protein_coding
ENSG00000103449.10	2.91147557	protein_coding
ENSG00000186862.16	2.91101245	protein_coding
ENSG00000147485.11	2.910178275	protein_coding
ENSG00000188674.9	2.910134758	protein_coding
ENSG00000138813.8	2.910101856	protein_coding
ENSG00000002549.11	2.909953812	protein_coding
ENSG00000104341.15	2.909438165	protein_coding
ENSG00000198930.11	2.909436754	protein_coding
ENSG00000137731.12	2.909320405	protein_coding
ENSG00000181896.10	2.909144114	protein_coding
ENSG00000125533.5	2.909095207	protein_coding
ENSG00000237452.2	2.908767454	protein_coding
ENSG00000184210.5	2.908199719	protein_coding
ENSG00000198947.13	2.907901968	protein_coding
ENSG00000140545.13	2.907554968	protein_coding
ENSG00000129317.13	2.906907853	protein_coding
ENSG00000213204.7	2.906628673	protein_coding
ENSG00000205542.9	2.906534228	protein_coding
ENSG00000198265.10	2.906470827	protein_coding
ENSG00000175701.9	2.906263357	protein_coding
ENSG00000129675.14	2.905902098	protein_coding
ENSG00000152954.10	2.905813135	protein_coding
ENSG00000172156.3	2.905508869	protein_coding
